날짜,플랫폼,캠페인명,광고목표,광고형식,업종,지역,연령대,성별,광고비(원),노출수,도달수,클릭수,CTR(%),CPC(원),CPM(원),전환수,전환가치(원),ROAS(%),좋아요,댓글,공유,저장
2023-01-01,YouTube,캠페인_R,리드수집,동영상,뷰티/화장품,대전,25-34,남성,1540585,961063,837667,11720,1.22,131,1603,149,6407447,415.9,18280,743,1105,2209
2023-01-01,TikTok,캠페인_E,인지도,배너,게임,서울,55+,여성,4749877,8784637,5930163,147428,1.68,32,541,2058,291184362,6130.4,388717,25682,31070,40861
2023-01-01,Facebook,캠페인_D,트래픽,배너,교육,부산,25-34,여성,4818387,2494332,1506368,59247,2.38,81,1932,1844,125919384,2613.3,75339,4047,4340,11209
2023-01-01,Naver,캠페인_O,동영상조회,동영상,패션/의류,인천,35-44,여성,525614,730631,671347,9946,1.36,53,719,635,60399295,11491.2,53367,4858,2023,8256
2023-01-01,YouTube,캠페인_S,리드수집,카드뉴스,금융,제주,18-24,남성,955622,1637877,1440257,11497,0.7,83,583,239,18249084,1909.7,112283,16549,8310,22242
2023-01-01,TikTok,캠페인_T,전환,카드뉴스,게임,부산,45-54,남성,2978194,5785445,5249810,98019,1.69,30,515,1170,97039800,3258.3,294529,36693,15860,33434
2023-01-01,TikTok,캠페인_S,리드수집,스토리,전자기기,대구,55+,전체,1095401,1446104,1088900,53771,3.72,20,757,1432,46362432,4232.5,38501,4704,1548,5698
2023-01-01,YouTube,캠페인_J,전환,배너,여행,부산,25-34,여성,4153895,4258891,3432932,35071,0.82,118,975,498,62623002,1507.6,93628,12408,3879,12182
2023-01-01,Naver,캠페인_J,동영상조회,동영상,패션/의류,대구,18-24,남성,920698,884587,539049,21230,2.4,43,1041,1522,135068368,14670.2,23769,742,1846,2512
2023-01-01,Instagram,캠페인_O,리드수집,릴스,여행,경기,35-44,여성,3545529,6753633,4166601,184647,2.73,19,525,4390,40800660,1150.8,82071,3428,3723,4821
2023-01-02,YouTube,캠페인_M,트래픽,스토리,교육,대구,35-44,남성,3697532,3163261,2986785,48636,1.54,76,1169,1004,45809508,1238.9,65526,7344,4573,10666
2023-01-02,TikTok,캠페인_C,리드수집,이미지,여행,인천,45-54,남성,4234677,2516991,2376297,98275,3.9,43,1682,1208,62394408,1473.4,71714,7847,4253,5938
2023-01-02,KakaoTalk,캠페인_Q,리드수집,스토리,교육,부산,55+,남성,3782919,5248683,3710725,167445,3.19,23,721,5928,806285064,21313.8,134614,17087,6214,14491
2023-01-02,Facebook,캠페인_F,리드수집,배너,뷰티/화장품,광주,25-34,남성,4503789,5734148,4082124,163756,2.86,28,785,8491,154086177,3421.3,128875,15053,9228,15230
2023-01-02,TikTok,캠페인_P,앱설치,이미지,식품/음료,경기,35-44,여성,2421903,3146703,2417150,169118,5.37,14,770,5331,30082833,1242.1,53097,1852,1227,8741
2023-01-02,KakaoTalk,캠페인_O,인지도,배너,식품/음료,제주,45-54,전체,1992781,3985262,3231984,88150,2.21,23,500,4182,250840542,12587.5,158782,11815,5446,9266
2023-01-03,TikTok,캠페인_P,인지도,동영상,전자기기,인천,45-54,전체,2510254,1735025,1146940,56660,3.27,44,1447,917,46850447,1866.4,52468,7382,4299,3153
2023-01-03,Instagram,캠페인_P,트래픽,이미지,뷰티/화장품,부산,35-44,남성,127049,113335,104168,2754,2.43,46,1121,72,1755144,1381.5,5260,404,499,934
2023-01-03,TikTok,캠페인_S,전환,배너,패션/의류,부산,35-44,남성,3753478,6252189,4417170,205251,3.28,18,600,1855,165208155,4401.5,168210,19672,6813,19153
