날짜,플랫폼,캠페인명,연령대,성별,지역,관심사,기기,신규여부,노출수,클릭수,전환수,광고비(원),체류시간(초),페이지뷰,이탈률(%)
2023-01-01,Facebook,캠페인_P,45-54,여성,부산,재테크,PC,재방문,42031,540,58,91305,183,807,42.4
2023-01-01,Facebook,캠페인_F,55+,남성,서울,음식,PC,재방문,8034,184,17,309354,145,673,38.0
2023-01-01,KakaoTalk,캠페인_T,35-44,여성,대전,운동/헬스,모바일,신규,18475,1005,83,781406,149,2868,75.6
2023-01-01,TikTok,캠페인_E,25-34,여성,대구,음식,모바일,재방문,22759,959,64,822607,228,3326,41.3
2023-01-01,Facebook,캠페인_R,25-34,여성,부산,자동차,모바일,신규,33990,1112,15,851410,130,4525,82.1
2023-01-01,Naver,캠페인_S,18-24,남성,대구,뷰티,모바일,신규,14133,93,8,637143,15,166,35.3
2023-01-02,YouTube,캠페인_Q,55+,여성,인천,여행,PC,신규,19748,665,14,351500,222,810,52.5
2023-01-02,KakaoTalk,캠페인_P,45-54,여성,인천,자동차,모바일,재방문,20408,113,5,650848,19,205,48.2
2023-01-03,TikTok,캠페인_I,18-24,남성,인천,반려동물,모바일,재방문,11737,449,46,300722,46,1423,57.4
2023-01-03,Facebook,캠페인_N,35-44,여성,서울,게임,태블릿,재방문,24653,586,65,814675,45,2575,83.4
2023-01-03,Facebook,캠페인_J,18-24,여성,부산,자동차,모바일,재방문,25901,681,40,361371,23,2923,63.1
2023-01-04,Instagram,캠페인_O,55+,여성,서울,패션,태블릿,재방문,37884,350,32,807843,94,662,72.7
2023-01-04,TikTok,캠페인_P,18-24,남성,서울,운동/헬스,PC,재방문,30054,1382,130,15966,41,1875,69.6
2023-01-04,Instagram,캠페인_M,35-44,남성,경기,패션,모바일,재방문,14853,323,32,915679,219,1335,65.5
2023-01-05,Facebook,캠페인_S,55+,여성,경기,재테크,모바일,재방문,38079,1889,200,587588,146,6366,79.3
2023-01-05,YouTube,캠페인_B,18-24,여성,대구,반려동물,모바일,재방문,6497,105,10,107877,151,321,67.1
2023-01-05,Facebook,캠페인_R,18-24,여성,제주,여행,PC,재방문,42881,870,75,787798,25,3454,43.8
2023-01-05,TikTok,캠페인_J,55+,남성,대전,반려동물,PC,재방문,24891,429,49,861612,172,862,21.9
2023-01-05,Instagram,캠페인_D,45-54,남성,대구,재테크,모바일,재방문,7077,294,17,515191,116,657,79.2
2023-01-05,KakaoTalk,캠페인_A,18-24,여성,인천,육아,모바일,신규,5296,238,13,965400,195,342,54.2
2023-01-06,YouTube,캠페인_D,25-34,남성,서울,반려동물,모바일,신규,9827,100,7,255370,60,305,75.4
2023-01-06,Facebook,캠페인_G,55+,남성,인천,음식,모바일,재방문,1718,86,1,631805,28,223,54.8
2023-01-06,TikTok,캠페인_H,45-54,여성,광주,재테크,모바일,신규,6303,220,5,953581,83,230,31.5
2023-01-07,Instagram,캠페인_J,18-24,남성,대구,게임,모바일,재방문,13702,435,27,27140,69,836,23.3
2023-01-07,Facebook,캠페인_O,35-44,여성,대전,게임,모바일,재방문,37147,1926,161,772760,82,8030,58.3
2023-01-07,KakaoTalk,캠페인_M,45-54,남성,인천,자동차,태블릿,재방문,3839,209,16,860364,207,299,27.8
2023-01-07,Instagram,캠페인_D,35-44,여성,광주,게임,PC,신규,34564,1745,19,929932,251,6197,37.3
2023-01-08,Naver,캠페인_F,35-44,남성,대전,자동차,모바일,재방문,27114,1360,17,392313,247,3844,83.3
2023-01-08,KakaoTalk,캠페인_C,55+,남성,인천,게임,모바일,신규,3519,180,8,388569,231,794,84.2
2023-01-08,Facebook,캠페인_P,18-24,여성,대전,재테크,모바일,재방문,23642,958,89,816621,56,3942,47.5
2023-01-08,TikTok,캠페인_B,45-54,여성,부산,재테크,모바일,신규,21322,151,5,524601,31,463,41.9
2023-01-08,TikTok,캠페인_A,18-24,남성,인천,패션,모바일,재방문,19114,482,41,799897,181,2003,65.3
2023-01-09,YouTube,캠페인_R,25-34,여성,부산,여행,PC,신규,3802,142,13,181923,290,233,57.0
