날짜,캠페인명,플랫폼,광고형식,소재유형,색감,해시태그수,텍스트길이,동영상길이(초),노출수,클릭수,CTR(%),좋아요,공유,광고비(원),전환수,소재평점,A/B그룹
2023-01-01,캠페인_G,YouTube,스토리,혜택강조형,비비드,14,99,0,132551,6858,5.17,4770,155,726340,635,3.4,C
2023-01-01,캠페인_J,KakaoTalk,카드뉴스,감성소구형,모노톤,11,56,0,197404,8173,4.14,3201,92,1250255,120,5.2,A
2023-01-03,캠페인_P,Instagram,스토리,유머형,파스텔,7,25,0,20479,1116,5.45,851,47,2391899,70,6.7,C
2023-01-03,캠페인_I,Facebook,이미지,정보제공형,어두움,11,266,0,123258,8418,6.83,5536,358,2730841,335,7.7,B
2023-01-03,캠페인_A,Naver,동영상,혜택강조형,밝음,9,49,45,135869,7029,5.17,3787,250,2428222,471,6.6,B
2023-01-03,캠페인_D,KakaoTalk,릴스,유머형,비비드,12,128,76,188823,10205,5.4,9268,650,969679,888,9.0,C
2023-01-04,캠페인_P,TikTok,이미지,유머형,밝음,4,185,0,177346,5718,3.22,6365,734,289294,548,8.6,C
2023-01-04,캠페인_C,YouTube,이미지,유머형,비비드,10,91,0,32931,1266,3.84,1283,73,1407542,50,3.3,B
2023-01-04,캠페인_F,KakaoTalk,스토리,감성소구형,모노톤,12,197,0,75295,1553,2.06,1745,94,1239375,18,7.5,C
2023-01-04,캠페인_P,Facebook,이미지,감성소구형,파스텔,14,138,0,142896,2236,1.56,5415,242,1675258,31,2.9,A
2023-01-05,캠페인_N,Facebook,릴스,혜택강조형,어두움,1,72,54,107711,3069,2.85,4754,162,2576234,105,9.2,A
2023-01-06,캠페인_L,TikTok,동영상,유머형,비비드,14,176,38,139332,2512,1.8,3849,448,852666,235,4.4,B
2023-01-06,캠페인_T,Instagram,동영상,정보제공형,밝음,2,195,63,83394,2848,3.42,2950,194,2383323,263,2.2,C
2023-01-06,캠페인_G,Naver,동영상,혜택강조형,밝음,11,194,118,135955,4391,3.23,3813,415,377821,211,2.1,A
2023-01-07,캠페인_O,Instagram,이미지,긴급성강조형,비비드,7,235,0,101203,6728,6.65,3457,227,1694998,594,4.6,C
2023-01-07,캠페인_C,Naver,카드뉴스,긴급성강조형,어두움,3,140,0,179054,6418,3.58,7726,695,372334,244,5.7,A
2023-01-08,캠페인_H,YouTube,이미지,긴급성강조형,비비드,7,233,0,164192,4630,2.82,9570,799,1924377,152,4.5,A
2023-01-08,캠페인_B,Facebook,스토리,혜택강조형,비비드,4,67,0,94927,4011,4.23,2361,91,2950847,241,5.6,A
2023-01-08,캠페인_D,Instagram,동영상,정보제공형,밝음,14,11,62,38597,460,1.19,1819,174,1553639,20,3.0,B
2023-01-09,캠페인_H,KakaoTalk,이미지,정보제공형,비비드,9,288,0,133386,1257,0.94,5308,168,727926,24,6.9,A
2023-01-09,캠페인_F,KakaoTalk,스토리,감성소구형,모노톤,11,223,0,163122,6801,4.17,5126,353,411466,550,5.2,C
2023-01-09,캠페인_Q,YouTube,배너,혜택강조형,비비드,11,81,0,52765,1888,3.58,698,47,1709859,32,1.4,A
2023-01-10,캠페인_J,Facebook,이미지,혜택강조형,파스텔,5,281,0,21156,236,1.12,902,48,1953616,7,3.8,C
2023-01-10,캠페인_C,YouTube,이미지,감성소구형,어두움,8,203,0,192023,6205,3.23,5006,403,2644149,372,5.2,A
