광역시도,시군구,날짜,플랫폼,캠페인명,유입채널,기기,OS,브라우저,세션수,사용자수,페이지뷰,평균체류(초),이탈률(%),전환수,광고비(원)
광주,북구,2023-01-01,TikTok,캠페인_J,추천링크,PC,iOS,Chrome,2529,1711,13373,135,66.5,111,457162
광주,서구,2023-01-01,Naver,캠페인_A,SNS광고,모바일,Android,Chrome,4794,3418,15316,372,64.2,71,1908772
광주,서구,2023-01-01,Instagram,캠페인_T,이메일,PC,Windows,Chrome,1704,1283,2914,391,23.5,38,228894
대전,유성구,2023-01-01,Facebook,캠페인_G,SNS광고,모바일,Android,Chrome,316,274,1224,204,59.8,7,762767
경기,성남시,2023-01-02,KakaoTalk,캠페인_I,SNS광고,모바일,iOS,Samsung Internet,462,312,2404,203,51.4,8,1461323
대구,달서구,2023-01-02,Facebook,캠페인_O,SNS광고,모바일,iOS,Samsung Internet,1808,1334,7269,29,25.8,25,1546330
대구,수성구,2023-01-02,KakaoTalk,캠페인_D,SNS광고,PC,Android,Samsung Internet,3471,2845,10490,297,71.9,71,735918
대전,중구,2023-01-02,YouTube,캠페인_O,검색광고,PC,iOS,Chrome,4465,3653,23658,324,62.4,113,919147
인천,남동구,2023-01-03,TikTok,캠페인_H,자연검색,모바일,Android,Chrome,2176,1365,8366,193,36.2,30,1600860
경기,성남시,2023-01-03,Facebook,캠페인_M,자연검색,모바일,Windows,Chrome,2735,2464,9711,138,64.2,29,34816
광주,서구,2023-01-03,Instagram,캠페인_R,자연검색,모바일,Windows,Naver앱,2778,2566,10314,351,66.0,248,519192
대구,중구,2023-01-04,Facebook,캠페인_A,검색광고,모바일,Android,Chrome,1166,729,5504,314,77.1,78,158874
광주,북구,2023-01-04,Naver,캠페인_O,검색광고,모바일,Android,Chrome,1209,1143,5062,306,61.9,33,1194136
대전,서구,2023-01-04,Facebook,캠페인_K,자연검색,PC,Android,Edge,2072,1697,3516,219,63.3,76,991627
부산,동래구,2023-01-05,Instagram,캠페인_G,SNS광고,모바일,iOS,Safari,1002,859,3072,16,67.5,82,921842
인천,부평구,2023-01-05,YouTube,캠페인_F,SNS광고,PC,iOS,Chrome,2612,2419,6070,174,26.5,128,168188
대전,서구,2023-01-05,Instagram,캠페인_C,직접접속,모바일,iOS,Safari,2696,2208,6866,225,28.2,193,1154396
부산,해운대구,2023-01-06,Instagram,캠페인_E,직접접속,PC,iOS,Naver앱,2312,1828,4937,348,37.1,74,1338756
제주,제주시,2023-01-06,Facebook,캠페인_S,검색광고,PC,Windows,Safari,4971,4306,23003,126,44.5,434,1616524
서울,노원구,2023-01-07,Naver,캠페인_N,SNS광고,모바일,Android,Chrome,1521,1255,6623,15,83.3,121,1530225
부산,해운대구,2023-01-07,KakaoTalk,캠페인_O,SNS광고,모바일,iOS,Naver앱,1277,852,6132,204,38.2,23,1116537
경기,부천시,2023-01-07,Facebook,캠페인_P,SNS광고,PC,Windows,Samsung Internet,1874,1134,8192,40,65.5,94,521525
인천,남동구,2023-01-08,Facebook,캠페인_O,자연검색,모바일,Android,Chrome,2293,1570,11808,268,23.6,155,925180
경기,남양주시,2023-01-09,KakaoTalk,캠페인_T,검색광고,PC,Android,Edge,4938,4006,8735,147,44.4,404,1069780
제주,제주시,2023-01-09,KakaoTalk,캠페인_H,SNS광고,PC,Android,Chrome,3138,2857,17748,166,48.7,21,580524
제주,서귀포시,2023-01-09,Facebook,캠페인_C,SNS광고,PC,Android,Chrome,12,11,38,96,27.3,0,174357
대구,북구,2023-01-10,Facebook,캠페인_S,직접접속,모바일,Android,Edge,212,155,895,136,48.5,7,1676893
부산,해운대구,2023-01-10,TikTok,캠페인_H,SNS광고,PC,iOS,Samsung Internet,2056,1594,7120,150,29.2,38,1910654
광주,북구,2023-01-10,Instagram,캠페인_L,자연검색,PC,Windows,Edge,2022,1706,8196,277,24.9,150,693980
대구,중구,2023-01-11,Instagram,캠페인_I,SNS광고,모바일,Android,Edge,3195,2335,5508,244,82.4,246,1645890
대구,북구,2023-01-11,KakaoTalk,캠페인_I,검색광고,모바일,Android,Chrome,3147,2866,5435,110,37.8,46,287824
경기,용인시,2023-01-12,Facebook,캠페인_O,검색광고,모바일,iOS,Safari,1356,841,6165,102,73.8,71,1593634
인천,부평구,2023-01-12,Instagram,캠페인_O,직접접속,모바일,Android,Chrome,1779,1085,4435,284,46.8,25,784302
광주,광산구,2023-01-12,Instagram,캠페인_A,SNS광고,모바일,Windows,Safari,4408,3061,24394,48,75.9,235,1337444
광주,서구,2023-01-13,KakaoTalk,캠페인_A,자연검색,모바일,Android,Samsung Internet,2884,1807,13260,141,60.4,70,1663606
대전,유성구,2023-01-13,Instagram,캠페인_F,검색광고,모바일,Windows,Chrome,255,209,673,195,64.8,1,1335774
경기,용인시,2023-01-13,YouTube,캠페인_J,검색광고,PC,Android,Safari,4750,4077,19929,96,27.4,460,1791587
인천,부평구,2023-01-13,Facebook,캠페인_J,직접접속,모바일,iOS,Safari,1838,1317,9092,166,22.1,76,181012
광주,북구,2023-01-13,Facebook,캠페인_D,SNS광고,모바일,Android,Safari,2447,2267,9702,234,73.8,66,1550395
